Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,46.19,850.00,869.00,840.00,853.00,853.95,"2,066.00",850.00,"1,764,267.40",59,3.00,29.00,0.35,3.45,-0.11,782.27,810.12,"1,540.00",675.00
ADBL,41.64,324.00,328.00,322.10,324.00,324.28,"37,215.00",324.00,"12,068,029.40",276,0.00,5.90,0.00,1.83,-0.09,320.40,327.31,442.00,298.00
ADLB,55.57,786.50,848.20,786.50,848.20,822.97,60.00,771.10,"49,378.00",6,77.10,61.70,10.00,7.84,2.97,0.00,0.00,848.20,256.80
AHPC,47.97,355.00,357.90,345.00,352.00,353.48,"118,360.00",349.00,"41,837,403.20",491,3.00,12.90,0.86,3.74,-0.42,312.26,336.15,628.30,250.00
AIL,42.60,492.00,510.00,482.00,503.90,496.51,"15,860.00",500.00,"7,874,569.90",164,3.90,28.00,0.78,5.81,1.47,537.31,593.63,806.00,344.00
AKBSL,39.11,"1,286.00","1,299.40","1,260.30","1,273.50","1,275.09","4,323.00","1,309.90","5,512,213.70",151,-36.40,39.10,-2.78,3.10,-0.12,0.00,0.00,"1,907.00",391.50
AKJCL,50.28,245.00,247.70,238.20,242.00,242.54,"68,583.00",244.90,"16,634,451.00",367,-2.90,9.50,-1.18,3.99,-0.23,194.76,201.26,345.00,159.80
AKPL,45.09,421.00,429.40,417.50,421.00,422.93,"60,671.00",422.00,"25,659,588.30",317,-1.00,11.90,-0.24,2.85,-0.46,408.25,418.91,624.00,325.00
ALBSL,46.49,"1,099.00","1,099.00","1,039.90","1,051.00","1,056.35","1,797.00","1,079.00","1,898,263.60",51,-28.00,59.10,-2.59,5.68,-0.51,"1,060.24","1,128.14","1,750.00",874.30
ALICL,46.46,705.10,723.00,705.00,715.00,713.63,"47,206.00",716.00,"33,687,831.20",250,-1.00,18.00,-0.14,2.55,0.19,547.50,568.85,"1,374.00",428.00
