Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,883.00,902.70,851.00,902.70,885.89,"21,090.00",867.00,"18,683,455.30",203,35.70,51.70,4.12,6.08,1.86,631.83,613.84,902.70,500.10
ADBL,-,236.50,236.80,228.00,233.00,233.87,"7,893.00",237.10,"1,845,944.20",94,-4.10,8.80,-1.73,3.86,-0.37,238.90,245.02,275.00,223.00
ADBLD83,-,"1,060.00","1,102.80","1,060.00","1,081.00","1,088.37","1,050.00","1,060.00","1,142,787.50",16,21.00,42.80,1.98,4.04,-0.68,"1,013.45",990.58,"1,144.00",941.00
AHL,-,441.00,446.00,429.20,429.20,433.49,"3,337.00",439.00,"1,446,544.50",35,-9.80,16.80,-2.23,3.91,-1.00,408.03,381.03,504.00,273.10
AHPC,-,162.50,162.50,157.00,159.70,158.68,"23,064.00",160.30,"3,659,894.75",173,-0.60,5.50,-0.37,3.50,0.64,205.65,210.76,316.00,157.00
AKJCL,-,207.00,207.00,203.00,203.90,203.25,"11,649.00",205.00,"2,367,637.50",69,-1.10,4.00,-0.54,1.97,0.32,202.58,189.80,250.00,141.30
AKPL,-,165.00,165.90,162.00,163.00,162.95,"36,574.00",164.50,"5,959,882.80",177,-1.50,3.90,-0.91,2.41,0.03,180.29,184.07,384.90,152.40
ALBSL,-,829.00,855.00,805.00,845.00,837.16,"30,557.00",813.00,"25,581,014.90",337,32.00,50.00,3.94,6.21,0.93,688.78,698.04,903.10,543.00
ALICL,-,538.00,550.90,523.00,542.80,533.60,"29,183.00",542.50,"15,571,984.90",204,0.30,27.90,0.06,5.33,1.70,618.31,639.91,812.00,517.50
ANLB,-,"1,975.00","2,024.00","1,975.00","2,024.00","1,999.47","1,582.00","1,961.00","3,163,165.40",39,63.00,49.00,3.21,2.48,1.21,"1,859.81","1,928.27","2,651.00",553.50
API,-,162.00,164.90,162.00,162.50,163.20,"57,476.00",162.50,"9,379,854.40",228,0.00,2.90,0.00,1.79,-0.43,180.82,181.32,265.20,154.70
AVYAN,-,787.00,825.90,762.10,824.00,807.30,"40,815.00",776.00,"32,950,000.30",468,48.00,63.80,6.19,8.37,2.03,630.62,642.40,825.90,549.00
BARUN,-,220.30,222.00,215.00,215.30,217.40,"32,010.00",222.20,"6,958,886.10",146,-6.90,7.00,-3.11,3.26,-0.97,240.05,235.62,299.00,191.10
BBC,-,"3,783.10","3,858.60","3,634.00","3,737.00","3,711.95",251.00,"3,709.00","931,699.00",18,28.00,224.60,0.75,6.18,0.67,"3,764.26","3,798.88","4,539.00","3,050.00"
BEDC,-,355.00,365.00,355.00,362.00,357.80,"6,513.00",361.00,"2,330,334.00",115,1.00,10.00,0.28,2.82,1.16,316.85,280.09,412.90,170.00
BFC,-,389.00,400.00,380.10,400.00,394.93,"47,050.00",381.90,"18,581,421.40",330,18.10,19.90,4.74,5.24,1.27,330.61,325.24,424.00,284.00
BGWT,-,584.00,600.00,584.00,598.00,597.89,"2,343.00",594.00,"1,400,854.40",53,4.00,16.00,0.67,2.74,0.02,548.68,0.00,710.00,352.00
BHDC,-,480.00,487.00,469.00,483.00,479.26,"7,845.00",475.00,"3,759,803.00",74,8.00,18.00,1.68,3.84,0.77,436.39,402.67,523.00,286.50
BHL,-,314.20,326.90,314.20,320.00,320.85,"5,345.00",320.00,"1,714,963.50",75,0.00,12.70,0.00,4.04,-0.27,299.90,275.22,394.00,192.70
BHPL,-,511.80,567.00,511.80,533.00,533.93,"5,872.00",522.10,"3,135,255.00",106,10.90,55.20,2.09,10.79,-0.18,465.68,452.34,569.50,304.10
BNHC,-,427.10,435.00,422.00,427.90,427.00,"2,275.00",434.80,"971,418.70",50,-6.90,13.00,-1.59,3.08,0.21,416.79,384.76,617.00,270.10
BNL,-,"15,449.90","15,450.00","15,449.90","15,450.00","15,449.95",20.00,"15,450.00","308,999.00",2,0.00,0.10,0.00,0.00,0.00,0.00,0.00,"23,765.60","2,266.60"
BNT,-,"12,930.00","13,296.00","12,838.00","12,853.00","12,891.60",371.00,"13,193.70","4,782,784.70",16,-340.70,458.00,-2.58,3.57,-0.30,"12,844.41","13,166.49","17,508.00","10,500.00"
BOKD86,-,983.10,990.00,983.10,986.00,986.03,100.00,986.00,"98,602.50",4,0.00,6.90,0.00,0.70,0.00,851.97,821.78,"1,002.00",770.00
BPCL,-,290.00,296.90,290.00,290.00,290.59,"5,720.00",291.50,"1,662,169.10",64,-1.50,6.90,-0.51,2.38,-0.20,305.57,307.33,365.00,290.00
C30MF,-,8.47,8.47,8.47,8.47,8.47,100.00,8.64,847.00,1,-0.17,0.00,-1.97,0.00,0.00,8.48,0.00,10.00,7.61
